3b|CERNIE_1|CERNIERE||0|0|Taladrado bisagra tipo 1
3b|CERNIE_1_D|CERNIERE||0|0|Doble taladrado bisagra tipo 1"   
3b|CERNIE_1_T|CERNIERE||0|0|Triple taladrado bisagra tipo 1" 
3b|CERNIE_2|CERNIERE||0|0|Taladrado bisagra tipo 2
3b|CERNIE_2_D|CERNIERE||0|0|Doble Taladrado bisagra tipo 2
3b|CERNIE_2_T|CERNIERE||0|0|Triple Taladrado bisagra tipo 2" 
3b|CERNIE_3|CERNIERE||0|0|Taladrado bisagra tipo 3
3b|CERNIE_3_D|CERNIERE||0|0|Doble Taladrado bisagra tipo 3"   
3b|CERNIE_3_T|CERNIERE||0|0|Triple Taladrado bisagra tipo 3"   
3b|CERNIE_4|CERNIERE||0|0|Taladrado bisagra tipo 4
3b|CERNIE_4_D|CERNIERE||0|0|Doble Taladrado bisagra tipo 4"
3b|CERNIE_4_T|CERNIERE||0|0|Triple Taladrado bisagra tipo 4
3b|CERNIE_5|CERNIERE||0|0|Taladrado bisagra tipo 5
3b|CERNIE_5_D|CERNIERE||0|0|Doble Taladrado bisagra tipo 5" 
3b|CERNIE_5_T|CERNIERE||0|0|Triple Taladrado bisagra tipo 5" 
3b|CERNIE_6|CERNIERE||0|0|Taladrado bisagra tipo 6
3b|CERNIE_6_D|CERNIERE||0|0|Doble Taladrado bisagra tipo 6
3b|CERNIE_6_T|CERNIERE||0|0|Triple Taladrado bisagra tipo 6
3b|AGGANCIO_PP|FERRAMENTA||0|0|Enganche para pieza suspendida
3b|FORI_FARETTO|FERRAMENTA||0|0|orificios para la fijación de los focos circulares
8t|FORO_FARETTO_C|FERRAMENTA||0|0|Orificio para foco
8t|FORO_FARETTO_R|FERRAMENTA||0|0|Orificio para foco rectangular
3b|GUIDA_CASSETTI|FERRAMENTA||0|0|Taladrado para guía cajones
3b|MANIGLIA_1|FERRAMENTA||0|0|Taladrado pomo/manija 
3b|MANIGLIA_C|FERRAMENTA||0|0|Vaciado para manija circular "
3b|MANIGLIA_R|FERRAMENTA||0|0|Vaciado para manija rectangular"          
3b|CANALE|MACRO_STD||0|0|Canal para respaldo dirección X
3b|SCONTORNATURA|MACRO_STD||0|0|Fresado de la pieza"           
5b|XBRAKE|MACRO_STD||0|0|Frenos
nn|XDUSTPAN|MACRO_STD||0|0|Programación de la paleta
1i|XGINV|MACRO_STD||0|0|Entrada automática en el perfil con velocidad
1j|XGOUTV|MACRO_STD||0|0|Salida automática desde el perfil con velocidad
nn|XNOTNOP|MACRO_STD||0|0|Elimina operazione nulla tra lavorazioni
5a|XTSP|MACRO_STD||0|0|Tool Setting Probe
5g|CLEAN|MBD||0|0|Clean nesting table
6g|PARK|MBD||0|0|park
5a|XBLOWER|MBD||0|0|SOPLO
2g|XNOP|MBD||0|0|Tres orificios a paso fijo
3b|CHANNELX|POURPO||0|0|Saw channel X direction
3b|CHANNELY|POURPO||0|0|Saw channel Y direction
8t|SCASSOC|POURPO||0|0|Circolar hole
8t|SCASSOR|POURPO||0|0|Square hole
3b|SCONT|POURPO||0|0|Panel squaring contour
3b|TASCAC|POURPO||0|0|CIRCULAR POCKET
3b|TASCARET|POURPO||0|0|Rectangular pocket
2k|XTOEKICK|POURPO||0|0|Toe kick
3b|ANTAX|RAIDOOR||0|0|cabinet door mod 4
3b|ANTCIRC|RAIDOOR||0|0|Cabinet door one arc
3b|ARCORIB|RAIDOOR||0|0|Cabinet Arc
3b|BUGNARET|RAIDOOR||0|0|BUGNARET
